时间点,总请求数,卡顿率,⾸首帧加载时⻓长,错误率
2019-05-21T21:45,12923,0.067896284,1427.273,0.0054940805
2019-05-21T21:50,13054,0.060606062,1423.636,0.0049027116
2019-05-21T21:55,13239,0.066534914,1416.4937,0.0046075988
2019-05-21T22:00,13142,0.063533835,1472.0363,0.003804596
2019-05-21T22:05,12987,0.07441792,1431.0382,0.0046200044
2019-05-21T22:10,12410,0.07254034,1429.4569,0.0041901693
2019-05-21T22:15,12525,0.073839985,1416.4559,0.0043912176
2019-05-21T22:20,12140,0.072092324,1437.9331,0.005107084
2019-05-21T22:25,11814,0.06896552,1358.0165,0.0050787204
2019-05-21T22:30,11905,0.0753221,1399.7201,0.0028559428
2019-05-21T22:35,11583,0.07323944,1386.7726,0.0057843393
2019-05-21T22:40,11028,0.06748366,1400.7374,0.0035364528
2019-05-21T22:45,10882,0.06145727,1353.2823,0.004227164
2019-05-21T22:50,10511,0.06926864,1374.3059,0.0032347066
2019-05-21T22:55,10290,0.070005484,1342.0978,0.0034013605
2019-05-21T23:00,10115,0.07069929,1334.7672,0.002471577
2019-05-21T23:05,9724,0.068369195,1332.1423,0.0033936652
2019-05-21T23:10,9220,0.061687034,1384.0573,0.004121475
2019-05-21T23:15,8711,0.067360684,1414.8495,0.003903111
2019-05-21T23:20,8495,0.07368666,1354.3297,0.0043555032
2019-05-21T23:25,7952,0.06618335,1329.6986,0.0038983903
2019-05-21T23:30,7668,0.069931835,1290.4867,0.0032603026
2019-05-21T23:35,7389,0.065847926,1269.2212,0.0028420626
2019-05-21T23:40,7475,0.06282853,1330.6449,0.0037458194
2019-05-21T23:45,7396,0.06987129,1317.8854,0.0025689562
2019-05-21T23:50,7099,0.061154857,1279.4526,0.003239893
2019-05-21T23:55,6828,0.067983076,1282.6116,0.0033684827
2019-05-22T00:00,6347,0.063963965,1275.6227,0.0023633211
2019-05-22T00:05,6514,0.062099695,1270.6656,0.0044519496
2019-05-22T00:10,5995,0.062282644,1293.2592,0.0036697248
2019-05-22T00:15,5640,0.07447155,1301.1606,0.005141844
2019-05-22T00:20,5297,0.063486494,1324.8756,0.0028317915
2019-05-22T00:25,5419,0.07157534,1196.787,0.0029525743
2019-05-22T00:30,5274,0.07245283,1307.2485,0.002844141
2019-05-22T00:35,4944,0.060971156,1286.5576,0.0030339805
2019-05-22T00:40,4792,0.06221374,1330.8212,0.0050083473
2019-05-22T00:45,4688,0.06611258,1225.1501,0.004052901
2019-05-22T00:50,4513,0.069622874,1195.5256,0.002437403
2019-05-22T00:55,4358,0.052293185,1215.1721,0.0025240937
2019-05-22T01:00,3993,0.06663782,1362.463,0.006511395
2019-05-22T01:05,4050,0.06556581,1171.9205,0.0022222223
2019-05-22T01:10,3855,0.061340943,1339.1754,0.0036316472
2019-05-22T01:15,3618,0.056678165,1390.0746,0.0044223326
2019-05-22T01:20,3490,0.052766394,1306.1346,0.0031518624
2019-05-22T01:25,3268,0.048648648,1218.0847,0.0036719707
2019-05-22T01:30,3263,0.052884616,1267.803,0.003371131
2019-05-22T01:35,3053,0.054084506,1240.2335,0.00294792
2019-05-22T01:40,3060,0.053107344,1197.18,0.0029411765
2019-05-22T01:45,2845,0.05638872,1216.8738,0.0031634446
2019-05-22T01:50,2769,0.04542505,1287.29,0.0061394004
2019-05-22T01:55,2650,0.045733787,1157.4388,0.003018868
2019-05-22T02:00,2483,0.04905914,1247.5026,0.0012082158
2019-05-22T02:05,2743,0.049056605,1291.5027,3.6456436E-4
2019-05-22T02:10,2950,0.04868914,1142.5925,0.0040677967
2019-05-22T02:15,3147,0.04785581,1108.4652,0.0022243406
2019-05-22T02:20,3143,0.041509435,981.7741,0.0012726694
2019-05-22T02:25,3012,0.039498433,1078.835,0.004316069
2019-05-22T02:30,2945,0.046290424,1039.4893,0.0020373515
2019-05-22T02:35,3076,0.054205608,1114.55,0.0026007802
2019-05-22T02:40,3466,0.041301627,1071.88,0.0031736873
2019-05-22T02:45,3599,0.04489796,1064.4984,0.0025006947
2019-05-22T02:50,3449,0.034289278,932.1928,0.002319513
2019-05-22T02:55,3403,0.032919254,1010.6077,0.0035263004
2019-05-22T03:00,3371,0.03260188,880.1056,0.0014832393
2019-05-22T03:05,3138,0.04144385,951.52454,0.0015933716
